iter	Passed	Remaining
0	420	209662
1	869	216432
2	1322	219114
3	1782	221017
4	2245	222256
5	2691	221583
6	3100	218359
7	3532	217273
8	3960	216076
9	4431	217123
10	4872	216610
11	5306	215780
12	5774	216337
13	6217	215842
14	6701	216685
15	7178	217160
16	7628	216725
17	8076	216263
18	8513	215524
19	8984	215630
20	9385	214083
21	9831	213610
22	10240	212378
23	10691	212057
24	11160	212055
25	11623	211909
26	12059	211267
27	12509	210878
28	12863	208926
29	13295	208293
30	13805	208869
31	14216	207923
32	14618	206878
33	15027	205958
34	15474	205587
35	15937	205416
36	16368	204826
37	16808	204359
38	17251	203921
39	17672	203231
40	18123	202896
41	18564	202436
42	18948	201383
43	19014	197061
44	19479	196956
45	19916	196570
46	20311	195766
47	20715	195067
48	21171	194867
49	21498	193484
50	21954	193283
51	22384	192850
52	22888	193043
53	23325	192653
54	23763	192271
55	24214	191986
56	24623	191371
57	25072	191068
58	25540	190907
59	25987	190571
60	26459	190425
61	26904	190067
62	26967	187057
63	27389	186587
64	27663	185130
65	28072	184598
66	28506	184228
67	28937	183835
68	29433	183852
69	29929	183853
70	30415	183781
71	30820	183213
72	31240	182738
73	31746	182756
74	32173	182319
75	32673	182285
76	33212	182452
77	33621	181902
78	34018	181289
79	34507	181166
80	34934	180708
81	35371	180309
82	35823	179981
83	36300	179774
84	36730	179331
85	36972	177985
86	37390	177499
87	37872	177312
88	38395	177307
89	38834	176914
90	39201	176192
91	39671	175936
92	40085	175425
93	40536	175084
94	40976	174688
95	41352	174024
96	41813	173720
97	42237	173261
98	42664	172813
99	43144	172577
100	43508	171879
101	44015	171745
102	44440	171291
103	44897	170956
104	45393	170765
105	45837	170377
106	46243	169848
107	46706	169528
108	47113	169005
109	47554	168602
110	47949	168038
111	48451	167851
112	48897	167462
113	49364	167146
114	49790	166689
115	50218	166242
116	50673	165880
117	51089	165392
118	51151	163771
119	51581	163342
120	52028	162966
121	52465	162555
122	52900	162143
123	53352	161778
124	53820	161460
125	54238	160994
126	54691	160629
127	55122	160201
128	55529	159701
129	55976	159317
130	56414	158909
131	56879	158573
132	57330	158197
